,High-technology exports (% of manufactured exports),Export value index (2000 = 100),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports (current US$),Insurance and financial services (% of commercial service exports),Agricultural raw materials exports (% of merchandise exports),Net barter terms of trade index (2000 = 100), Exports( Billions of US $), % of GDP
1960,,,3.989341454,0.510087552,1332000000,,,,1.652701653,4.4632
1961,,,5.121527778,0.622106481,1386000000,,,,1.688401688,4.3036
1962,,,4.325608176,0.94285303,1403000000,,9.257298841,,1.757701758,4.169
1963,,,3.184672968,0.837404047,1626000000,,8.252923511,,2.072702073,4.2805
1964,,,2.967429213,0.555654076,1705000000,,7.990264648,,2.104202104,3.7256
1965,,,3.215258856,0.520738722,1687000000,,7.711348153,,1.969760605,3.3075
1966,,,3.251219207,0.343878955,1954000000,,7.598749187,,1.9,4.1426
1967,,,3.151862464,0.373738632,1613000000,,6.771777821,,2.022666667,4.0344
1968,,,3.364806867,0.371959943,1761000000,,5.701651654,,2.144,4.0388
1969,,,3.018568655,0.862526322,1835000000,,5.677221025,,2.170666667,3.7138
1970,,,4.60696306,0.49453834,2026000000,,5.556493684,,2.361333333,3.7828
1971,,,6.048536231,1.016150294,2036000000,,5.413517092,,2.469898946,3.6672
1972,,,4.285561919,1.279064043,2448000000,,5.826782631,,2.878172458,4.0275
1973,,,2.750873065,1.1332096,2917000000,,5.07891775,,3.59913519,4.2088
1974,,,3.768881671,0.739077027,3926000000,,5.959476056,,4.808415668,4.8313
1975,,,4.461243392,0.744953632,4355000000,2.891154916,3.978774927,,5.560820024,5.6471
1976,,,3.493294007,0.877259411,5549000000,2.524270488,4.175673414,,6.868196413,6.6865
1977,,,3.960266198,0.319550339,6378000000,2.254364115,3.032555779,,7.754744526,6.3832
1978,,,3.97044729,0.242549563,6671000000,1.939746552,2.853656617,,8.670273695,6.3148
1979,,,3.530013909,0.262292862,7806000000,1.701099428,3.681184633,,10.32638304,6.7496
1980,,20.2588056,4.068198244,0.234357413,8586000000,1.292772209,4.99806594,71.64179104,11.43953983,6.1396
1981,,19.57394294,4.531824288,0.246689685,8295000000,1.428901788,4.119368054,65.4676259,11.48565413,5.936
1982,,22.08125193,3.170440422,0.243457091,9358000000,1.355297873,3.437193435,72.30769231,12.00938899,5.9833
1983,,21.58539664,2.576139269,0.410453263,9148000000,1.303745564,3.521329859,75.80645161,12.74134269,5.8376
1984,,22.30180772,1.718726776,0.34175641,9451000000,1.379079725,2.678959429,94.11764706,13.33075344,6.2834
1985,,21.56609477,1.530759471,0.454855361,9140000000,1.287503307,2.838065918,80.99173554,12.21746449,5.2546
1986,,22.17818605,1.547040554,0.588191381,9399000000,1.45607675,3.504372219,83.76068376,12.93786415,5.1962
1987,,26.65900569,1.419082298,0.570776908,11298000000,1.618536704,2.789864176,100,15.63866291,5.6046
1988,,31.22632984,1.453795198,0.479787182,13234000000,1.91941265,1.97400603,97.56097561,17.89979761,6.0352
1989,,37.45106691,0.386398085,0.260290946,15872000000,2.676314166,2.140529509,94.61538462,20.7707173,7.0161
1990,,42.40065315,1.463528513,0.297434399,17969000000,2.674902715,4.050730741,85.81560284,22.63977491,7.0534
1991,,41.82891176,2.050046158,0.305464135,17727000000,2.173806265,2.007664016,93.6,22.94339807,8.4942
1992,,46.31388437,2.583682475,2.87126951,19628000000,3.067916801,1.595791889,98.31932773,25.48606089,8.8429
